part_number,manufacturer,sell_price,quantity_available,margin_percent,cost_price,cert available,leadtime
BACB30NW6K5X,,0.59,0,,,Mfg CoC,3 weeks
BACB30NW6K6,,0,0,,,Mfg CoC,
BACB30NW6K6X,,1.11,0,,,Mfg CoC,3 weeks
BACB30NW6K7,,0,0,,,Mfg CoC,
BACB30NW6K7X,,0,0,,,Mfg CoC,
BACB30NW6K8,,0.89,0,,,Mfg CoC,3 weeks
BACB30NW8K10X,,0,0,,,Mfg CoC,
BACB30NW8K4,,0.88,0,,,Mfg CoC,3 weeks
BACB30NW8K5X,,1.88,0,,,Mfg CoC,3 weeks
BACB30NW8K7X,,0,0,,,Mfg CoC,
BACB30NW8K8X,,0,0,,,Mfg CoC,
BACB30NW8K9X,,0,0,,,Mfg CoC,
BACB30NX5HK4,,0.77,0,,,Mfg CoC,3 weeks
BACB30NX5HK5,,1.08,0,,,Mfg CoC,3 weeks
BACB30NX6B7,,0,0,,,Mfg CoC,
BACB30NX6K11,,0.9,0,,,Mfg CoC,3 weeks
BACB30NX6K2,,0,0,,,Mfg CoC,
BACB30NX6K3,,1.09,0,,,Mfg CoC,3 weeks
BACB30NX6K3X,,1.19,0,,,Mfg CoC,3 weeks
BACB30NX6K5,,1.13,0,,,Mfg CoC,3 weeks
BACB30NX6K5X,,0.86,0,,,Mfg CoC,3 weeks
BACB30NX6K6,,0.65,0,,,Mfg CoC,3 weeks
BACB30NX6K7,,0.91,0,,,Mfg CoC,3 weeks
BACB30NX8K3,,1.42,0,,,Mfg CoC,3 weeks
BACB30NX8K7,,0,0,,,Mfg CoC,
BACB30NX8K8,,1.36,0,,,Mfg CoC,3 weeks
BACB30NY5HK4,,1,0,,,Mfg CoC,3 weeks
BACB30NY6B5,,1.36,0,,,Mfg CoC,3 weeks
BACB30NY6B6,,1.46,0,,,Mfg CoC,3 weeks
BACB30NY6B7,,2.39,0,,,Mfg CoC,3 weeks
BACB30NY6K3,,2.27,0,,,Mfg CoC,3 weeks
BACB30NY6K4,,1.12,0,,,Mfg CoC,3 weeks
BACB30NY6K5,,1.2,0,,,Mfg CoC,3 weeks
BACB30NY6K6X,,1.47,0,,,Mfg CoC,3 weeks
BACB30NY6K7,,0,0,,,Mfg CoC,
BACB30NY8K7,,1.45,0,,,Mfg CoC,3 weeks
BACB30NY8K8,,0,0,,,Mfg CoC,
BACB30PW4-8,,6.62,0,,,Mfg CoC,3 weeks
BACB30VF3K12,,6.66,0,,,Mfg CoC,3 weeks
BACB30VF3K13,,1.03,0,,,Mfg CoC,3 weeks
BACB30VF3K3,,0,0,,,Mfg CoC,
BACB30VF3K4,,0.72,0,,,Mfg CoC,3 weeks
BACB30VF3K5,,0.62,0,,,Mfg CoC,3 weeks
BACB30VF3K8,,0,0,,,Mfg CoC,
BACB30VF4K10,,0,0,,,Mfg CoC,
BACB30VF4K11,,1.94,0,,,Mfg CoC,3 weeks
BACB30VF4K12,,0,0,,,Mfg CoC,
BACB30VF4K13,,1.66,0,,,Mfg CoC,3 weeks
BACB30VF4K6,,1.42,0,,,Mfg CoC,3 weeks
